ligand,sample,n_pocket_residues_touched,donor_to_centroid,rg_about_donor,centroid_fe_dist,azimuth_about_axis,distal_half_contacts,distal_half_buried_frac,contact_consensus
RIT,pred.model_idx_7,17,8.01539699712996,9.969371049369164,9.786666622584013,87.97202047374736,164,0.68,0.8512116347513663
RIT,pred.model_idx_8,14,8.359381685866486,10.07062556051013,9.992361701319664,-5.164002735004419,105,0.24,0.7789483239689637
RIT,pred.model_idx_9,17,8.10525924713084,9.900886467382604,9.747512498232561,-106.7853700553859,157,0.48,0.8512116347513664
T0K,pred.model_idx_0,13,6.056228541035254,7.47185493033691,8.103745969688955,-121.23132345872706,104,0.35,0.6608206245461148
T0K,pred.model_idx_1,15,6.33060173941822,7.931787965206836,8.339274808586476,165.20749337440566,99,0.45,0.7221314451706609
T0K,pred.model_idx_2,14,6.142359502921089,7.784909146868704,8.150780064700864,-87.0279851591482,123,0.45,0.7398148148148148
T0K,pred.model_idx_3,16,6.514882681599109,8.063510079363702,8.526471043462235,94.78711468152207,108,0.45,0.7981118373275237
T0K,pred.model_idx_4,15,6.66359400896018,8.229571440846723,8.581374401356113,81.83775519070886,106,0.5,0.766748366013072
T0K,pred.model_idx_5,14,6.507112887160479,7.906845429752627,8.247000247135318,103.43717857772494,88,0.3,0.6920116194625999
T0K,pred.model_idx_6,14,6.894270243334316,8.650560812745033,8.787049054610142,65.42595873936675,138,0.65,0.773011982570806
T0K,pred.model_idx_7,15,6.639753697850923,8.43464512146184,8.45981868707155,109.90597033317157,132,0.6,0.7439179375453885
T0K,pred.model_idx_8,13,7.11431891333422,8.870102472632434,8.950994140352512,-63.32697870183583,105,0.3,0.7648148148148148
T0K,pred.model_idx_9,14,6.577471704851721,8.182662722182798,8.547767341717076,74.20640172078423,120,0.35,0.7359477124183007
TCI,pred.model_idx_0,11,1.8488956832761136,4.384311655853422,7.56903184807689,145.4898043076909,67,0.45454545454545453,0.7999315499315499
TCI,pred.model_idx_1,12,2.1106758953827365,4.355730982430429,8.038468794580014,-31.473099925736243,79,0.6363636363636364,0.6862433862433863
TCI,pred.model_idx_2,12,1.9879634466977574,4.423990044410529,7.510081613359436,-147.15648522400332,76,0.5454545454545454,0.8040293040293042
TCI,pred.model_idx_3,10,2.6883516449876406,4.7887202247891185,7.755883657342869,-46.32818241003581,78,0.5454545454545454,0.8112905612905613
TCI,pred.model_idx_4,10,2.696835941342736,4.607810410879411,7.702063532569395,-53.32057811226922,56,0.36363636363636365,0.7582602582602583
TCI,pred.model_idx_5,11,2.8431258527133005,4.875765371356762,7.766675818298371,-37.07754344106394,72,0.45454545454545453,0.7999315499315499
TCI,pred.model_idx_6,11,2.646768336237398,4.645593316345025,7.8516300395448315,-50.435961647494054,69,0.45454545454545453,0.7977947977947978
TCI,pred.model_idx_7,11,2.6435039779927543,4.581857730317427,7.4552082363191525,-52.54899325548582,67,0.5454545454545454,0.7061864061864063
TCI,pred.model_idx_8,11,1.8412195622387102,4.353158328706022,7.706032095072246,-150.68232242637268,77,0.36363636363636365,0.8170995670995671
TCI,pred.model_idx_9,12,2.9435672843130125,4.672613992375053,7.399891906429654,-54.66157816865793,51,0.36363636363636365,0.6562881562881564
X5Y,pred.model_idx_0,13,5.683805577863559,7.004154986788012,7.650424821682523,62.51659259506307,83,0.42105263157894735,0.8269027269027269
X5Y,pred.model_idx_1,15,6.041058062244718,7.709829621680107,8.013535482251678,39.69516089410911,115,0.5263157894736842,0.7663398692810458
X5Y,pred.model_idx_2,14,5.681338713260479,7.102922152555465,7.685198493896024,87.18882109513778,111,0.631578947368421,0.8227218372729208
X5Y,pred.model_idx_3,15,5.679686804818645,7.2038978411179,7.6998858255916245,-105.89000462512517,93,0.47368421052631576,0.8358215800940259
