name,tag,rank,xeng
9PLK_A1CIW,run5_s42,2,1.8190463486252908
9PLK_A1CIW,run5_s42,3,1.5621954529838555
9PLK_A1CIW,run5_s42,4,2.55710304815065
9YK4_PG4,run5_s42,0,3.422925547741738
9YK4_PG4,run5_s42,1,3.8940362763764313
9YK4_PG4,run5_s42,2,3.4614006962306787
9YK4_PG4,run5_s42,3,3.4405815366428727
9YK4_PG4,run5_s42,4,3.3546724255797558
1W0G_MYT,run5_s43,0,0.7985118254490252
1W0G_MYT,run5_s43,1,0.9478227164942011
1W0G_MYT,run5_s43,2,1.0906605806674392
1W0G_MYT,run5_s43,3,1.0243684441822973
1W0G_MYT,run5_s43,4,1.2379932564924907
2J0D_ERY,run5_s43,0,1.1512601133554825
2J0D_ERY,run5_s43,1,1.7465595680367072
2J0D_ERY,run5_s43,2,1.3712074313843017
2J0D_ERY,run5_s43,3,1.746885159368518
2J0D_ERY,run5_s43,4,1.1276964173457322
2V0M_KLN,run5_s43,0,1.4277811158633844
